Date,Time,Time of Day,Second,Kelvins
2020-06-12,07:12,Early Morning,54,1780
2020-06-12,07:12,Early Morning,57,1781
2020-06-12,07:12,Early Morning,59,1782
2020-06-12,07:13,Early Morning,2,1783
2020-06-12,07:13,Early Morning,4,1784
2020-06-12,07:13,Early Morning,6,1785
2020-06-12,07:13,Early Morning,9,1786
2020-06-12,07:13,Early Morning,11,1787
2020-06-12,07:13,Early Morning,14,1788
2020-06-12,07:13,Early Morning,16,1789
2020-06-12,07:13,Early Morning,18,1790
2020-06-12,07:13,Early Morning,21,1791
2020-06-12,07:13,Early Morning,23,1792
2020-06-12,07:13,Early Morning,26,1793
2020-06-12,07:13,Early Morning,28,1794
2020-06-12,07:13,Early Morning,30,1795
2020-06-12,07:13,Early Morning,33,1796
2020-06-12,07:13,Early Morning,35,1797
2020-06-12,07:13,Early Morning,38,1798
2020-06-12,07:13,Early Morning,40,1799
2020-06-12,07:13,Early Morning,42,1800
2020-06-12,07:13,Early Morning,45,1801
2020-06-12,07:13,Early Morning,47,1802
2020-06-12,07:13,Early Morning,50,1803
2020-06-12,07:13,Early Morning,52,1804
2020-06-12,07:13,Early Morning,54,1805
2020-06-12,07:13,Early Morning,57,1806
2020-06-12,07:13,Early Morning,59,1807
2020-06-12,07:14,Early Morning,2,1808
2020-06-12,07:14,Early Morning,4,1809
2020-06-12,07:14,Early Morning,6,1810
2020-06-12,07:14,Early Morning,9,1811
2020-06-12,07:14,Early Morning,11,1812
2020-06-12,07:14,Early Morning,14,1813
2020-06-12,07:14,Early Morning,16,1814
2020-06-12,07:14,Early Morning,18,1815
2020-06-12,07:14,Early Morning,21,1816
2020-06-12,07:14,Early Morning,23,1817
2020-06-12,07:14,Early Morning,26,1818
2020-06-12,07:14,Early Morning,28,1819
2020-06-12,07:14,Early Morning,30,1820
2020-06-12,07:14,Early Morning,33,1821
2020-06-12,07:14,Early Morning,35,1822
2020-06-12,07:14,Early Morning,38,1823
2020-06-12,07:14,Early Morning,40,1824
2020-06-12,07:14,Early Morning,42,1825
2020-06-12,07:14,Early Morning,45,1826
2020-06-12,07:14,Early Morning,47,1827
2020-06-12,07:14,Early Morning,50,1828
2020-06-12,07:14,Early Morning,52,1829
2020-06-12,07:14,Early Morning,54,1830
2020-06-12,07:14,Early Morning,57,1831
2020-06-12,07:14,Early Morning,59,1832
2020-06-12,07:15,Early Morning,2,1833
2020-06-12,07:15,Early Morning,4,1834
2020-06-12,07:15,Early Morning,6,1835
2020-06-12,07:15,Early Morning,9,1836
2020-06-12,07:15,Early Morning,11,1837
2020-06-12,07:15,Early Morning,14,1838
2020-06-12,07:15,Early Morning,16,1839
2020-06-12,07:15,Early Morning,18,1840
2020-06-12,07:15,Early Morning,21,1841
2020-06-12,07:15,Early Morning,23,1842
2020-06-12,07:15,Early Morning,26,1843
2020-06-12,07:15,Early Morning,28,1844
2020-06-12,07:15,Early Morning,30,1845
2020-06-12,07:15,Early Morning,33,1846
2020-06-12,07:15,Early Morning,35,1847
2020-06-12,07:15,Early Morning,38,1848
2020-06-12,07:15,Early Morning,40,1849
2020-06-12,07:15,Early Morning,42,1850
2020-06-12,07:15,Early Morning,45,1851
2020-06-12,07:15,Early Morning,47,1852
2020-06-12,07:15,Early Morning,50,1853
2020-06-12,07:15,Early Morning,52,1854
2020-06-12,07:15,Early Morning,54,1855
2020-06-12,07:15,Early Morning,57,1856
2020-06-12,07:15,Early Morning,59,1857
2020-06-12,07:16,Early Morning,2,1858
2020-06-12,07:16,Early Morning,4,1859
2020-06-12,07:16,Early Morning,6,1860
2020-06-12,07:16,Early Morning,9,1861
2020-06-12,07:16,Early Morning,11,1862
2020-06-12,07:16,Early Morning,14,1863
2020-06-12,07:16,Early Morning,16,1864
2020-06-12,07:16,Early Morning,18,1865
2020-06-12,07:16,Early Morning,21,1866
2020-06-12,07:16,Early Morning,23,1867
2020-06-12,07:16,Early Morning,26,1868
2020-06-12,07:16,Early Morning,28,1869
2020-06-12,07:16,Early Morning,30,1870
2020-06-12,07:16,Early Morning,33,1871
2020-06-12,07:16,Early Morning,35,1872
2020-06-12,07:16,Early Morning,38,1873
2020-06-12,07:16,Early Morning,40,1874
2020-06-12,07:16,Early Morning,42,1875
2020-06-12,07:16,Early Morning,45,1876
2020-06-12,07:16,Early Morning,47,1877
2020-06-12,07:16,Early Morning,50,1878
2020-06-12,07:16,Early Morning,52,1879
2020-06-12,07:16,Early Morning,54,1880
2020-06-12,07:16,Early Morning,57,1881
2020-06-12,07:16,Early Morning,59,1882
2020-06-12,07:17,Early Morning,2,1883
2020-06-12,07:17,Early Morning,4,1884
2020-06-12,07:17,Early Morning,6,1885
2020-06-12,07:17,Early Morning,9,1886
2020-06-12,07:17,Early Morning,11,1887
2020-06-12,07:17,Early Morning,14,1888
2020-06-12,07:17,Early Morning,16,1889
2020-06-12,07:17,Early Morning,18,1890
2020-06-12,07:17,Early Morning,21,1891
2020-06-12,07:17,Early Morning,23,1892
2020-06-12,07:17,Early Morning,26,1893
2020-06-12,07:17,Early Morning,28,1894
2020-06-12,07:17,Early Morning,30,1895
2020-06-12,07:17,Early Morning,33,1896
2020-06-12,07:17,Early Morning,35,1897
2020-06-12,07:17,Early Morning,38,1898
2020-06-12,07:17,Early Morning,40,1899
2020-06-12,07:17,Early Morning,42,1900
2020-06-12,07:17,Early Morning,45,1901
2020-06-12,07:17,Early Morning,47,1902
2020-06-12,07:17,Early Morning,50,1903
2020-06-12,07:17,Early Morning,52,1904
2020-06-12,07:17,Early Morning,54,1905
2020-06-12,07:17,Early Morning,57,1906
2020-06-12,07:17,Early Morning,59,1907
2020-06-12,07:18,Early Morning,2,1908
2020-06-12,07:18,Early Morning,4,1909
2020-06-12,07:18,Early Morning,6,1910
2020-06-12,07:18,Early Morning,9,1911
2020-06-12,07:18,Early Morning,11,1912
2020-06-12,07:18,Early Morning,14,1913
2020-06-12,07:18,Early Morning,16,1914
2020-06-12,07:18,Early Morning,18,1915
2020-06-12,07:18,Early Morning,21,1916
2020-06-12,07:18,Early Morning,23,1917
2020-06-12,07:18,Early Morning,26,1918
2020-06-12,07:18,Early Morning,28,1919
2020-06-12,07:18,Early Morning,30,1920
2020-06-12,07:18,Early Morning,33,1921
2020-06-12,07:18,Early Morning,35,1922
2020-06-12,07:18,Early Morning,38,1923
2020-06-12,07:18,Early Morning,40,1924
2020-06-12,07:18,Early Morning,42,1925
2020-06-12,07:18,Early Morning,45,1926
2020-06-12,07:18,Early Morning,47,1927
2020-06-12,07:18,Early Morning,50,1928
2020-06-12,07:18,Early Morning,52,1929
2020-06-12,07:18,Early Morning,54,1930
2020-06-12,07:18,Early Morning,57,1931
2020-06-12,07:18,Early Morning,59,1932
2020-06-12,07:19,Early Morning,2,1933
2020-06-12,07:19,Early Morning,4,1934
2020-06-12,07:19,Early Morning,6,1935
2020-06-12,07:19,Early Morning,9,1936
2020-06-12,07:19,Early Morning,11,1937
2020-06-12,07:19,Early Morning,14,1938
2020-06-12,07:19,Early Morning,16,1939
2020-06-12,07:19,Early Morning,18,1940
2020-06-12,07:19,Early Morning,21,1941
2020-06-12,07:19,Early Morning,23,1942
2020-06-12,07:19,Early Morning,26,1943
2020-06-12,07:19,Early Morning,28,1944
2020-06-12,07:19,Early Morning,30,1945
2020-06-12,07:19,Early Morning,33,1946
2020-06-12,07:19,Early Morning,35,1947
2020-06-12,07:19,Early Morning,38,1948
2020-06-12,07:19,Early Morning,40,1949
2020-06-12,07:19,Early Morning,42,1950
2020-06-12,07:19,Early Morning,45,1951
2020-06-12,07:19,Early Morning,47,1952
2020-06-12,07:19,Early Morning,50,1953
2020-06-12,07:19,Early Morning,52,1954
2020-06-12,07:19,Early Morning,54,1955
2020-06-12,07:19,Early Morning,57,1956
2020-06-12,07:19,Early Morning,59,1957
2020-06-12,07:20,Early Morning,2,1958
2020-06-12,07:20,Early Morning,4,1959
2020-06-12,07:20,Early Morning,6,1960
2020-06-12,07:20,Early Morning,9,1961
2020-06-12,07:20,Early Morning,11,1962
2020-06-12,07:20,Early Morning,14,1963
2020-06-12,07:20,Early Morning,16,1964
2020-06-12,07:20,Early Morning,18,1965
2020-06-12,07:20,Early Morning,21,1966
2020-06-12,07:20,Early Morning,23,1967
2020-06-12,07:20,Early Morning,26,1968
2020-06-12,07:20,Early Morning,28,1969
2020-06-12,07:20,Early Morning,30,1970
2020-06-12,07:20,Early Morning,33,1971
2020-06-12,07:20,Early Morning,35,1972
2020-06-12,07:20,Early Morning,38,1973
2020-06-12,07:20,Early Morning,40,1974
2020-06-12,07:20,Early Morning,42,1975
2020-06-12,07:20,Early Morning,45,1976
2020-06-12,07:20,Early Morning,47,1977
2020-06-12,07:20,Early Morning,50,1978
2020-06-12,07:20,Early Morning,52,1979
2020-06-12,07:20,Early Morning,54,1980
2020-06-12,07:20,Early Morning,57,1981
2020-06-12,07:20,Early Morning,59,1982
2020-06-12,07:21,Early Morning,2,1983
2020-06-12,07:21,Early Morning,4,1984
2020-06-12,07:21,Early Morning,6,1985
2020-06-12,07:21,Early Morning,9,1986
2020-06-12,07:21,Early Morning,11,1987
2020-06-12,07:21,Early Morning,14,1988
2020-06-12,07:21,Early Morning,16,1989
2020-06-12,07:21,Early Morning,18,1990
2020-06-12,07:21,Early Morning,21,1991
2020-06-12,07:21,Early Morning,23,1992
2020-06-12,07:21,Early Morning,26,1993
2020-06-12,07:21,Early Morning,28,1994
2020-06-12,07:21,Early Morning,30,1995
2020-06-12,07:21,Early Morning,33,1996
2020-06-12,07:21,Early Morning,35,1997
2020-06-12,07:21,Early Morning,38,1998
2020-06-12,07:21,Early Morning,40,1999
2020-06-12,07:21,Early Morning,42,2000
2020-06-12,07:21,Early Morning,45,2001
2020-06-12,07:21,Early Morning,47,2002
2020-06-12,07:21,Early Morning,50,2003
2020-06-12,07:21,Early Morning,52,2004
2020-06-12,07:21,Early Morning,54,2005
2020-06-12,07:21,Early Morning,57,2006
2020-06-12,07:21,Early Morning,59,2007
2020-06-12,07:22,Early Morning,2,2008
2020-06-12,07:22,Early Morning,4,2009
2020-06-12,07:22,Early Morning,6,2010
2020-06-12,07:22,Early Morning,9,2011
2020-06-12,07:22,Early Morning,11,2012
2020-06-12,07:22,Early Morning,14,2013
2020-06-12,07:22,Early Morning,16,2014
2020-06-12,07:22,Early Morning,18,2015
2020-06-12,07:22,Early Morning,21,2016
2020-06-12,07:22,Early Morning,23,2017
2020-06-12,07:22,Early Morning,26,2018
2020-06-12,07:22,Early Morning,28,2019
2020-06-12,07:22,Early Morning,30,2020
2020-06-12,07:22,Early Morning,33,2021
2020-06-12,07:22,Early Morning,35,2022
2020-06-12,07:22,Early Morning,38,2023
2020-06-12,07:22,Early Morning,40,2024
2020-06-12,07:22,Early Morning,42,2025
2020-06-12,07:22,Early Morning,45,2026
2020-06-12,07:22,Early Morning,47,2027
2020-06-12,07:22,Early Morning,50,2028
2020-06-12,07:22,Early Morning,52,2029
2020-06-12,07:22,Early Morning,54,2030
2020-06-12,07:22,Early Morning,57,2031
2020-06-12,07:22,Early Morning,59,2032
2020-06-12,07:23,Early Morning,2,2033
2020-06-12,07:23,Early Morning,4,2034
2020-06-12,07:23,Early Morning,6,2035
2020-06-12,07:23,Early Morning,9,2036
2020-06-12,07:23,Early Morning,11,2037
2020-06-12,07:23,Early Morning,14,2038
2020-06-12,07:23,Early Morning,16,2039
2020-06-12,07:23,Early Morning,18,2040
2020-06-12,07:23,Early Morning,21,2041
2020-06-12,07:23,Early Morning,23,2042
2020-06-12,07:23,Early Morning,26,2043
2020-06-12,07:23,Early Morning,28,2044
2020-06-12,07:23,Early Morning,30,2045
2020-06-12,07:23,Early Morning,33,2046
2020-06-12,07:23,Early Morning,35,2047
2020-06-12,07:23,Early Morning,38,2048
2020-06-12,07:23,Early Morning,40,2049
2020-06-12,07:23,Early Morning,42,2050
2020-06-12,07:23,Early Morning,45,2051
2020-06-12,07:23,Early Morning,47,2052
2020-06-12,07:23,Early Morning,50,2053
2020-06-12,07:23,Early Morning,52,2054
2020-06-12,07:23,Early Morning,54,2055
2020-06-12,07:23,Early Morning,57,2056
2020-06-12,07:23,Early Morning,59,2057
2020-06-12,07:24,Early Morning,2,2058
2020-06-12,07:24,Early Morning,4,2059
2020-06-12,07:24,Early Morning,6,2060
2020-06-12,07:24,Early Morning,9,2061
2020-06-12,07:24,Early Morning,11,2062
2020-06-12,07:24,Early Morning,14,2063
2020-06-12,07:24,Early Morning,16,2064
2020-06-12,07:24,Early Morning,18,2065
2020-06-12,07:24,Early Morning,21,2066
2020-06-12,07:24,Early Morning,23,2067
2020-06-12,07:24,Early Morning,26,2068
2020-06-12,07:24,Early Morning,28,2069
2020-06-12,07:24,Early Morning,30,2070
2020-06-12,07:24,Early Morning,33,2071
2020-06-12,07:24,Early Morning,35,2072
2020-06-12,07:24,Early Morning,38,2073
2020-06-12,07:24,Early Morning,40,2074
2020-06-12,07:24,Early Morning,42,2075
2020-06-12,07:24,Early Morning,45,2076
2020-06-12,07:24,Early Morning,47,2077
2020-06-12,07:24,Early Morning,50,2078
2020-06-12,07:24,Early Morning,52,2079
2020-06-12,07:24,Early Morning,54,2080
2020-06-12,07:24,Early Morning,57,2081
2020-06-12,07:24,Early Morning,59,2082
2020-06-12,07:25,Early Morning,2,2083
2020-06-12,07:25,Early Morning,4,2084
2020-06-12,07:25,Early Morning,6,2085
2020-06-12,07:25,Early Morning,9,2086
2020-06-12,07:25,Early Morning,11,2087
2020-06-12,07:25,Early Morning,14,2088
2020-06-12,07:25,Early Morning,16,2089
2020-06-12,07:25,Early Morning,18,2090
2020-06-12,07:25,Early Morning,21,2091
2020-06-12,07:25,Early Morning,23,2092
2020-06-12,07:25,Early Morning,26,2093
2020-06-12,07:25,Early Morning,28,2094
2020-06-12,07:25,Early Morning,30,2095
2020-06-12,07:25,Early Morning,33,2096
2020-06-12,07:25,Early Morning,35,2097
2020-06-12,07:25,Early Morning,38,2098
2020-06-12,07:25,Early Morning,40,2099
2020-06-12,07:25,Early Morning,42,2100
2020-06-12,07:25,Early Morning,45,2101
2020-06-12,07:25,Early Morning,47,2102
2020-06-12,07:25,Early Morning,50,2103
2020-06-12,07:25,Early Morning,52,2104
2020-06-12,07:25,Early Morning,54,2105
2020-06-12,07:25,Early Morning,57,2106
2020-06-12,07:25,Early Morning,59,2107
2020-06-12,07:26,Early Morning,2,2108
2020-06-12,07:26,Early Morning,4,2109
2020-06-12,07:26,Early Morning,6,2110
2020-06-12,07:26,Early Morning,9,2111
2020-06-12,07:26,Early Morning,11,2112
2020-06-12,07:26,Early Morning,14,2113
2020-06-12,07:26,Early Morning,16,2114
2020-06-12,07:26,Early Morning,18,2115
2020-06-12,07:26,Early Morning,21,2116
2020-06-12,07:26,Early Morning,23,2117
2020-06-12,07:26,Early Morning,26,2118
2020-06-12,07:26,Early Morning,28,2119
2020-06-12,07:26,Early Morning,30,2120
2020-06-12,07:26,Early Morning,33,2121
2020-06-12,07:26,Early Morning,35,2122
2020-06-12,07:26,Early Morning,38,2123
2020-06-12,07:26,Early Morning,40,2124
2020-06-12,07:26,Early Morning,42,2125
2020-06-12,07:26,Early Morning,45,2126
2020-06-12,07:26,Early Morning,47,2127
2020-06-12,07:26,Early Morning,50,2128
2020-06-12,07:26,Early Morning,52,2129
2020-06-12,07:26,Early Morning,54,2130
2020-06-12,07:26,Early Morning,57,2131
2020-06-12,07:26,Early Morning,59,2132
